"Name","SKU","RegularPrice","Description","ShortDescription","Categories"
"Brown Geometric Pants","K-1-26-310-B-C1-VG_MULTI","3500","<p>Fresh from the new-in edit — Brown Geometric Pants. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Longline Cambric Kurta","K-1-26-310-A-C1-VG_MULTI","4500","<p>Fresh from the new-in edit — Longline Cambric Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Black Printed Pants","K-1-26-310-B-D1-VG_MULTI","3500","<p>Fresh from the new-in edit — Black Printed Pants. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Long Cambric Kurta","K-1-26-310-A-D1-VG_MULTI","4500","<p>Fresh from the new-in edit — Long Cambric Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Printed Cambric Pants","K-1-26-310-B-F1-VG_MULTI","3500","<p>Fresh from the new-in edit — Printed Cambric Pants. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Cambric Longline Shirt","K-1-26-310-A-F1-VG_MULTI","4500","<p>Fresh from the new-in edit — Cambric Longline Shirt. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Shirts and Tunics"
"Maroon Cambric Pants","K-1-26-310-B-H1-VG_MULTI","3500","<p>Fresh from the new-in edit — Maroon Cambric Pants. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Black Short Kurta","K-1-26-310-A-H1-VG_MULTI","4500","<p>Fresh from the new-in edit — Black Short Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Pink Longline Kurta","K-1-26-315-A-E1-VG_MULTI","4500","<p>Fresh from the new-in edit — Pink Longline Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Short Navy Kurta","K-1-26-315-A-B1-VG_MULTI","4000","<p>Fresh from the new-in edit — Short Navy Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Yellow Cambric Kurta","K-1-26-305-A-J2-VG_MULTI","4500","<p>Fresh from the new-in edit — Yellow Cambric Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Short Floral Kurta","K-1-26-305-A-B2-VG_MULTI","4500","<p>Fresh from the new-in edit — Short Floral Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Black Co-ord Set","K-5-26-201-F-H-VG_MULTI","25000","<p>Fresh from the new-in edit — Black Co-ord Set. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Two-Piece and Co-ords"
"2-piece Co-ord Set","K-5-26-201-E-D-VG_MULTI","20000","<p>Fresh from the new-in edit — 2-piece Co-ord Set. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Two-Piece and Co-ords"
"Floral Tailored 2-piece","K-T-A11-26-215FD1-VG_MULTI","6000","<p>Fresh from the new-in edit — Floral Tailored 2-piece. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Two-Piece and Co-ords"
"Cambric 2-piece Tailored","K-T-A11-26-112FE1-VG_MULTI","8000","<p>Fresh from the new-in edit — Cambric 2-piece Tailored. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Two-Piece and Co-ords"
"Printed Cambric Kurta","K-1-26-313-A-A1-VG_MULTI","4500","<p>Fresh from the new-in edit — Printed Cambric Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Floral Green Kurta","K-1-26-249-A-J2-VG_MULTI","7000","<p>Fresh from the new-in edit — Floral Green Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
